no,code,active,city,country,latitude,locationCode,locationName,longitude,postCode,state,street1,street2,street3,street4,street5
306,CC010306,true,Kabupaten Bekasi,,-6.116831,new7,Abdee Antusias CV,107.0893798,,,Kampung Muara Tengah RT 021 / RW 008, Desa Sukaten,Kecamatan Sukawangi,,
307,CC010307,true,,,-6.95711828,6316187361214464-5190287454371840,PT. Mahkota Permata Perdana,107.62822088,,,Batununggal,,,,
308,CC010308,true,,,-6.3809688,4895970676441088-6303345559994368,PT Mandiri Mitra Abadi,106.8515581,,,Jl. Gema Insani,,,,
309,CC010309,true,,,-6.93432920387981,5345611524079616-6276769023787008,Prikamto,107.589151979269,,,Jl. Peta,,,,
310,CC010310,true,,,-6.86427833333333,5163173560713216-5726123514134528,Pak Ryan,107.489798333333,,,Kertajaya,,,,
311,CC010311,true,,,-6.222676592879,5167711998967808-5769763334651904,PT. Pilar Cadas Putra,106.813248172402,,,Jl. Tol Cawang Pluit,,,,
312,CC010312,true,,,-6.22365861665458,6304200141045760-4795676630188032,PT. Pilar Cadas Putra,106.813102830201,,,SCBD Westway,,,,
313,CC010313,true,,,-6.21999274939299,5173619793592320-5695733197963264,PT. Danudian Manunggal,106.732394658029,,,Jl. Raya Joglo,,,,
314,CC010314,true,,,-6.1509239,5175845324849152-4906864408002560,Sarana Baja,106.8874632,,,Jl. Boulevard Barat,,,,
315,CC010315,true,,,-6.91087656654418,5113968368549888-5676918321971200,PT. Alami Inter Media,107.628347771242,,,Jl. Anggrek,,,,
316,CC010316,true,,,-6.299232,5179401457106944-5026762614374400,PT Encona Inti Industri,106.8315257,,,Jl. H. Marzuki,,,,
317,CC010317,true,,,-6.78913765,5735088218177536-5759978627399680,PT. Mulia Kreasi Lestari,108.64117062,,,Jl. Syekh Lemah Abang,,,,
318,CC010318,true,,,-6.95299505,5201242305331200-5222018404319232,Bu Swanny,107.60464251,,,Jl. H. Tatang Sumantri,,,,
319,CC010319,true,,,-6.88567166666667,5820087768449024-5668574207148032,Pak Fauzan,107.624353333333,,,Jl. Cigadung,,,,
320,CC010320,true,,,-6.71742897,6277454205288448-5151554298445824,Apita Express Hotel,108.54945161,,,Jl. Pandan Sari,,,,
321,CC010321,true,,,-6.18062571622431,6234545166745600-5108645259902976,Bp Rudy Wibowo,106.820547217503,,,Jl. Budi Kemuliaan,,,,
322,CC010322,true,Bandung,,-6.85592,6219724677447680-5093824770605056,Bp. Kurnia (Proyek 2),107.584305,,,Pondok Hijau Blok B,,,,
323,CC010323,true,,,-6.24915967915824,5746305229914112-5756029035872256,PT Kaltacitra Utama,106.866367189821,,,Jl. Dewi Sartika,,,,
324,CC010324,true,,,-6.247455,4779431453261824-6609018801881088,PT Wijaya Karya,106.927261666667,,,Jl. Bintang Sawit,,,,
325,CC010325,true,,,-6.86546124,5213437260988416-5776387214409728,Bp. Hendi,107.549558,,,Jl. Citeureup, Cimahi,,,
326,CC010326,true,,,-6.1624391656369,5192959897108480-5755909850529792,Ivan Kusnadi,106.894613904878,,,Jl. Casablanca IX,,,,
327,CC010327,true,,,-6.23972647358313,5709550879506432-5654228479508480,PT Takenaka Indonesia,106.846705628659,,,Jl. Tebet Barat IX,,,,
328,CC010328,true,Bandung,,-6.87146166666667,5192684180340736-4629734226919424,Bp. Andre Tedja,107.594065,,,Jl. Dr. Setiabudi,,,,
329,CC010329,true,,,-6.11327452585101,6221383977664512-6270578533072896,PT. Multi Prima Mandiri Prima,106.763418260962,,,Jl. Katamaran Indah 4,,,,
330,CC010330,true,,,-6.2298661,5659515483586560-5643291244625920,PT. Sutera Agung Properti,106.6546818,,,Alam Utama,,,,
331,CC010331,true,,,-6.19072423316538,5755348820426752-4558021459968000,PT. Karya Multi Prima,106.76800282672,,,Jl. Panjang Raya,,,,
332,CC010332,true,,,0,6562012733636608-5436112826793984,PT. FAJAR GEMILANG SEMESTA Wisma GKBI  jl.Jendral Sudirman no.28,0,,,,,,,
