no,locationCode,nickname
384,6276723020660736-5150823113818112,Ajeng
385,5096336756047872-5659286709469184,Ajeng
386,5094742853419008-5657692806840320,Ajeng
387,6655474409668608-6488903766769664,Ajeng
388,5096636262907904-6306184952807424,Ajeng
389,5668193934770176-5728654189395968,Ajeng
390,5857777280876544-4731877374033920,Ajeng
391,5113464414535680-5676414367956992,Ajeng
392,6480494254358528-5354594347515904,Ajeng
393,5122510420967424-5685460374388736,Ajeng
394,5122204337438720-5685154290860032,Ajeng
395,5119496662548480-5682446615969792,Ajeng
396,5132783244541952-5695733197963264,Ajeng
397,5132824516493312-5695774469914624,Ajeng
398,5181612492849152-5071814338281472,Ajeng
399,5118407569571840-5803016766619648,Ajeng
400,4895698801655808-5630962842992640,Ajeng
401,5136228680728576-5699178634149888,Ajeng
402,5466281851486208-5455673282265088,Ajeng
403,5131055862382592-5694005815803904,Ajeng
404,5695099354742784-4871846465896448,Ajeng
405,5692952877727744-5752068807589888,Ajeng
406,5089136914464768-5652086867886080,Ajeng
407,5697699554787328-4731877374033920,Ajeng
408,6603655042039808-5171257679020032,Ajeng
409,4836405133967360-6243780017520640,Ajeng
410,5068811082399744-4868143767879680,Ajeng
411,5977377624555520-4851477717712896,Ajeng
412,5096603815772160-5659553769193472,Ajeng
413,5723688670330880-5203266677768192,Ajeng
414,6502378119364608-5376478212521984,Ajeng
415,4841776779100160-6249151662653440,Ajeng
416,5573404644081664-6488903766769664,Ajeng
417,5193741044285440-5756690997706752,Ajeng
418,5754522240548864-5106858352181248,Ajeng
419,6290647489183744-5041477725978624,Ajeng
420,5168192162889728-5691937654833152,Ajeng
421,5086892257181696-5649842210603008,Ajeng
422,5718912599588864-5168674944057344,Ajeng
423,6556026220314624-6274551243603968,Ajeng
424,6534810122059776-5747113119973376,Ajeng
425,5881987675979776-4756087769137152,Ajeng
426,5178070654779392-5741020608200704,Ajeng
427,5354969284739072-5073494308028416,Ajeng
428,4849548841189376-6488903766769664,Ajeng
429,6751583396167680-5657692806840320,Ajeng
430,6294574850899968-5168674944057344,Ajeng
431,5991464379088896-4842193407705088,Ajeng
432,5662173514694656-5041477725978624,Ajeng
433,5485482368565248-4944710552518656,Ajeng
434,6282103742267392-4680734849630208,Ajeng
435,6242277651382272-5116377744539648,Ajeng
436,6070610459361280-4944710552518656,Ajeng
437,4947567813066752-5685460374388736,Ajeng
438,6262167074504704-5136267167662080,Diah
439,newjkt-04,Diah
440,6606669555433472-5480769648590848,Diah
441,6039227569537024-4913327662694400,Diah
442,5193951464128512-5756901417549824,Diah
443,newjkt-09,Diah
444,4672372783185920-6501960131805184,Diah
445,4835385548996608-6242760432549888,Diah
446,new7,Diah
447,5709550879506432-5654228479508480,Diah
448,5191355693268992-5754305646690304,Diah
449,5655941567479808-5702295002021888,Diah
450,5090091101847552-5653041055268864,Diah
451,5842067733348352-4716167826505728,Diah
452,5127094677798912-5690044631220224,Diah
453,5745108846641152-4677594725220352,Diah
454,4753777982701568-6583365331320832,Diah
455,5069661821468672-5632611774889984,Diah
456,5663998322147328-5632611774889984,Diah
457,new4,Diah
458,5704550296059904-6242760432549888,Diah
459,5160787203063808-5723737156485120,Diah
460,6227234931081216-5101335024238592,Diah
461,6043705442041856-5923338983571456,Diah
462,5676110733901824-5723737156485120,Diah
463,newjkt-11,Diah
464,new jkt 01,Diah
465,6601326347681792-5475426440839168,Diah
466,5943232399671296-5480769648590848,Diah
467,5798272690028544-6501960131805184,Diah
468,5851921394958336-5632611774889984,Diah
469,5914742807855104-4788842901012480,Diah
470,5196876336857088-5716905876783104,Diah
471,4918105042059264-6501960131805184,Diah
472,6215991008690176-5653041055268864,Diah
473,4904668639526912-6312043523080192,Diah
474,5569357375602688-6132307329024000,Diah
475,5206065687822336-5480769648590848,Diah
476,5680048682041344-4716167826505728,Diah
477,5153955923361792-5716905876783104,Diah
478,5869746650087424-4743846743244800,Sona
479,6220374660349952-5094474753507328,Sona
480,4806620710174720-5039236138926080,Sona
481,5773193637789696-4743846743244800,Sona
482,6310500858068992-5184600951226368,Sona
483,4761823328862208-6591410677481472,Sona
484,5918732530483200-4792832623640576,Sona
485,5268172726861824-5831122680283136,Sona
486,6336113593548800-5200730398916608,Sona
487,4822521417302016-4608374347923456,Sona
488,4961033374400512-4557836877037568,Sona
489,5920518163136512-5695616495648768,Sona
490,6256280586944512-5130380680101888,Sona
491,5647476354711552-5744357932007424,Sona
492,5193227896356864-4890016090161152,Sona
493,6226333088612352-5100433181769728,Sona
494,5153603132063744-5716553085485056,Sona
495,5362535976927232-6029370451820544,Sona
496,5167711998967808-5769763334651904,Sona
497,5113968368549888-5676918321971200,Sona
498,6221383977664512-6270578533072896,Sona
499,5740957525868544-5654293675769856,Sona
500,4906133860909056-6313508744462336,Sona
501,5730883243868160-5647262914969600,Sona
502,5449935944155136-5741907015630848,Sona
503,5754868253851648-5695902647844864,Sona
504,4867176360050688-6274551243603968,Sona
505,4879587876012032-6286962759565312,Sona
506,5745617531830272-5683164412379136,Sona
507,5766947849371648-5706739387203584,Sona
508,5111762332418048-5674712285839360,Sona
509,6243715525902336-5117815619059712,Sona
510,5725068160139264-5712209028055040,Sona
511,6314999769202688-5189099862360064,Sona
512,5132952694423552-5695902647844864,Sona
513,6045371755134976-6279374458322944,Sona
514,6201993139847168-5649994950377472,Sona
515,5108754009817088-5671703963238400,Sona
516,4797497897648128-5078972874358784,Sona
517,6509418980048896-5134002948145152,Sona
518,5169331335856128-5732281289277440,Sona
519,4895254490644480-6302629374197760,Sona
520,4778973166829568-6608560515448832,Sona
521,6325382315769856-5199482408927232,Sona
522,5737590808379392-5744671061966848,Sona
523,5069859759063040-5632809712484352,Sona
524,6666438186106880-4557836877037568,Sona
525,6046134749364224-5764659772653568,Sona
526,6069774886895616-5039236138926080,Sona
527,6329662519115776-6608560515448832,Sona
528,4683492956831744-5661512844705792,Sona
529,5204516647469056-5767466600890368,Sona
530,4826569524641792-6233944408195072,Sona
531,5661188172021760-5640047537684480,Sona
532,5762155571838976-4636255664996352,Sona
533,4653880767938560-6483468116557824,Sona
534,6540327577976832-5414427671134208,Sona
535,6195095221043200-5069195314200576,Sona
536,5669608488960000-4557836877037568,Sona
537,5122491932475392-5685441885896704,Sona
538,5119964042231808-5682913995653120,Sona
539,6015915997003776-4890016090161152,Sona
540,6266983108575232-5141083201732608,Sona
541,5198783503663104-5761733457084416,Sona
542,5761771541364736-5731047492812800,Sona
543,5200109138608128-5763059092029440,Sona
544,5199404428427264-5661512844705792,Sona
545,6383517885792256-5257617978949632,Sona
546,5766520500125696-5695902647844864,Sona
547,5206813381230592-5769763334651904,Sona
548,5769584590192640-5741907015630848,Sona
549,4808184984240128-6215559867793408,Sona
550,5756422495141888-6214540886802432,Sona
551,4923300442537984-6330675326091264,Sona
552,5178957062209536-5741907015630848,Sona
553,5176073226551296-5739023179972608,Sona
554,6266254440529920-5140354533687296,Sona
555,5187608837619712-5750558791041024,Sona
556,5189662905729024-5752612859150336,Sona
557,5745253566906368-5605731554295808,Sona
558,5181407978586112-5744357932007424,Sona
559,6326928537550848-5201028630708224,Sona
560,5143396444274688-5706346397696000,Sona
561,5143789433782272-5706739387203584,Sona
562,6295675637596160-5169775730753536,Sona
563,5995485408002048-4869585501159424,Sona
564,5148651336761344-5711601290182656,Sona
565,5149643608424448-5712593561845760,Sona
566,5149259074633728-5712209028055040,Sona
567,4690030031273984-6519617379893248,Sona
568,4844527521103872-5126002497814528,Sona
569,5161062852722688-5724012806144000,Sona
570,5190559480152064-6012431537012736,Sona
571,6325364632584192-5769271594450944,Sona
572,5129111383048192-6313508744462336,Sona
573,5861021054926848-4735121148084224,Sona
574,4857742900592640-5200730398916608,Sona
575,5100674001928192-5169775730753536,Sona
576,5635693648805888-5749020655878144,Sona
577,5074123587846144-5637073541267456,Sona
578,5636740010213376-5434150697828352,Sona
579,5107850221191168-5670800174612480,Sona
580,5070712175853568-5633662129274880,Sona
581,4606828327469056-6647521908621312,Sona
582,5079635104628736-5642585058050048,Sona
583,5076093233004544-5639043186425856,Sona
584,6300262696222720-5174362789380096,Sona
585,5272169395257344-5835119348678656,Sona
586,5088640979959808-5651590933381120,Sona
587,4785380083630080-6192754967183360,Sona
588,5161187809427456-5695902647844864,Sona
589,6324035172433920-5198135265591296,Sona
590,5091343722348544-5654293675769856,Sona
591,5655266787852288-5200730398916608,Sona
592,5087044996956160-5649994950377472,Sona
593,6029284233707520-4903384326864896,Sona
594,6180353618214912-5054453711372288,Sona
595,5647217180278784-5721266711429120,Sona
596,4817934560002048-6225309443555328,Sona
597,6238196459372544-5112296552529920,Sona
598,6276723020660736-5150823113818112,Sona
599,5093023121670144-5655973075091456,Sona
600,5093685888811008-5656635842232320,Sona
601,6326630305759232-5200730398916608,Sona
602,5106730979557376-5669680932978688,Sona
603,5328836187127808-5891786140549120,Sona
604,5078131194986496-5752612859150336,Sona
605,6703242834608128-5545071617245184,Sona
606,5668151421304832-5545071617245184,Sona
607,6264945146593280-5139045239750656,Sona
608,4906480310419456-6313855193972736,Sona
609,5857777280876544-4731877374033920,Sona
610,5118266859061248-5681216812482560,Sona
611,5201185631895552-5764135585316864,Sona
